yaml_id,base_depth,f_FH_target,f_WS_target,inf_ratio,success_rate_pct,n_eval,n_FH,n_WS,n_MISS
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh75_ws10_quantile,4,0.75,0.1,0.3001,82.0,2643,1819,123,701
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh80_ws10_quantile,4,0.8,0.1,0.3008,77.0,2841,1857,518,466
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh65_ws10_quantile,4,0.65,0.1,0.316,84.0,2612,1771,62,779
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh75_ws15_quantile,4,0.75,0.15,0.3193,76.0,2866,1788,652,426
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh65_ws15_quantile,4,0.65,0.15,0.3274,90.0,2552,1657,238,657
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh70_ws10_quantile,4,0.7,0.1,0.33,81.0,2695,1779,107,809
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh55_ws10_quantile,4,0.55,0.1,0.3327,91.0,2552,1679,96,777
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh70_ws20_quantile,4,0.7,0.2,0.3399,79.0,2831,1713,623,495
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh70_ws15_quantile,4,0.7,0.15,0.3447,81.0,2778,1760,242,776
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh60_ws15_quantile,4,0.6,0.15,0.3471,85.0,2622,1678,136,808
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh60_ws30_quantile,4,0.6,0.3,0.3529,84.0,2659,1536,739,384
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh45_ws40_quantile,4,0.45,0.4,0.3551,90.0,2501,1516,388,597
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh65_ws5_quantile,4,0.65,0.05,0.3554,88.0,2675,1711,53,911
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh75_ws5_quantile,4,0.75,0.05,0.3571,81.0,2844,1812,66,966
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh60_ws5_quantile,4,0.6,0.05,0.3628,89.0,2582,1628,69,885
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh50_ws20_quantile,4,0.5,0.2,0.3654,87.0,2670,1659,142,869
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh45_ws10_quantile,4,0.45,0.1,0.3783,91.0,2489,1520,110,859
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh70_ws5_quantile,4,0.7,0.05,0.3819,79.0,2793,1707,77,1009
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh55_ws5_quantile,4,0.55,0.05,0.3838,86.0,2629,1607,52,970
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh60_ws20_quantile,4,0.6,0.2,0.391,84.0,2663,1550,287,826
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh50_ws40_quantile,4,0.5,0.4,0.3924,83.0,2684,1406,899,379
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh55_ws20_quantile,4,0.55,0.2,0.3954,84.0,2660,1539,277,844
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh55_ws30_quantile,4,0.55,0.3,0.3954,86.0,2668,1503,440,725
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh65_ws20_quantile,4,0.65,0.2,0.3977,82.0,2828,1619,337,872
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh60_ws10_quantile,4,0.6,0.1,0.4101,85.0,2696,1556,137,1003
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh40_ws20_quantile,4,0.4,0.2,0.414,92.0,2541,1429,240,872
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh35_ws40_quantile,4,0.35,0.4,0.4142,89.0,2572,1415,367,790
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh35_ws10_quantile,4,0.35,0.1,0.4149,94.0,2439,1395,128,916
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh50_ws30_quantile,4,0.5,0.3,0.418,91.0,2566,1385,434,747
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh55_ws15_quantile,4,0.55,0.15,0.4193,85.0,2678,1499,224,955
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh50_ws10_quantile,4,0.5,0.1,0.4202,91.0,2486,1402,158,926
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh30_ws20_quantile,4,0.3,0.2,0.4312,93.0,2446,1329,249,868
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh50_ws15_quantile,4,0.5,0.15,0.4322,93.0,2568,1396,248,924
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh50_ws5_quantile,4,0.5,0.05,0.4347,93.0,2511,1400,78,1033
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh45_ws15_quantile,4,0.45,0.15,0.4407,92.0,2439,1307,229,903
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh45_ws20_quantile,4,0.45,0.2,0.4422,93.0,2502,1318,310,874
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh45_ws5_quantile,4,0.45,0.05,0.453,96.0,2487,1337,94,1056
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh45_ws30_quantile,4,0.45,0.3,0.4554,91.0,2608,1314,425,869
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh25_ws40_quantile,4,0.25,0.4,0.457,91.0,2491,1227,502,762
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh40_ws40_quantile,4,0.4,0.4,0.4682,93.0,2536,1191,631,714
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh40_ws30_quantile,4,0.4,0.3,0.4807,92.0,2508,1179,494,835
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh40_ws10_quantile,4,0.4,0.1,0.481,96.0,2439,1222,175,1042
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh25_ws10_quantile,4,0.25,0.1,0.486,96.0,2376,1177,177,1022
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh35_ws30_quantile,4,0.35,0.3,0.4893,99.0,2435,1122,486,827
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh40_ws15_quantile,4,0.4,0.15,0.4915,97.0,2457,1184,262,1011
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh40_ws5_quantile,4,0.4,0.05,0.4921,95.0,2440,1217,89,1134
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh35_ws15_quantile,4,0.35,0.15,0.5054,97.0,2393,1116,270,1007
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh15_ws40_quantile,4,0.15,0.4,0.5191,96.0,2330,959,646,725
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh35_ws20_quantile,4,0.35,0.2,0.5258,98.0,2476,1099,300,1077
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh30_ws30_quantile,4,0.3,0.3,0.5334,97.0,2370,972,535,863
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh30_ws40_quantile,4,0.3,0.4,0.539,93.0,2485,973,690,822
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh35_ws5_quantile,4,0.35,0.05,0.551,96.0,2547,1121,90,1336
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh30_ws15_quantile,4,0.3,0.15,0.5514,97.0,2374,993,288,1093
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh20_ws20_quantile,4,0.2,0.2,0.5623,94.0,2432,971,374,1087
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh25_ws30_quantile,4,0.25,0.3,0.5696,99.0,2327,854,590,883
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh30_ws5_quantile,4,0.3,0.05,0.5823,95.0,2379,968,103,1308
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh30_ws10_quantile,4,0.3,0.1,0.5825,91.0,2445,977,175,1293
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh15_ws10_quantile,4,0.15,0.1,0.6039,94.0,2403,910,167,1326
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh20_ws40_quantile,4,0.2,0.4,0.605,98.0,2274,706,769,799
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh25_ws15_quantile,4,0.25,0.15,0.6093,96.0,2350,839,317,1194
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh25_ws20_quantile,4,0.25,0.2,0.6164,95.0,2350,799,410,1141
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh20_ws30_quantile,4,0.2,0.3,0.6274,99.0,2255,680,641,934
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh25_ws5_quantile,4,0.25,0.05,0.6287,97.0,2335,833,136,1366
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh10_ws20_quantile,4,0.1,0.2,0.6385,97.0,2381,759,407,1215
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh5_ws30_quantile,4,0.05,0.3,0.6613,97.0,2314,602,727,985
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh20_ws15_quantile,4,0.2,0.15,0.6652,97.0,2310,687,346,1277
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh20_ws10_quantile,4,0.2,0.1,0.6776,95.0,2349,700,229,1420
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh20_ws5_quantile,4,0.2,0.05,0.686,98.0,2267,684,111,1472
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh15_ws30_quantile,4,0.15,0.3,0.6971,95.0,2307,548,603,1156
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh15_ws20_quantile,4,0.15,0.2,0.7187,98.0,2271,535,415,1321
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh10_ws40_quantile,4,0.1,0.4,0.7259,97.0,2283,409,867,1007
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh15_ws15_quantile,4,0.15,0.15,0.7365,95.0,2346,539,317,1490
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh10_ws30_quantile,4,0.1,0.3,0.7512,98.0,2254,387,695,1172
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh15_ws5_quantile,4,0.15,0.05,0.7567,97.0,2306,533,112,1661
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh10_ws15_quantile,4,0.1,0.15,0.7815,98.0,2270,407,356,1507
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh10_ws10_quantile,4,0.1,0.1,0.7938,96.0,2302,413,247,1642
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh5_ws40_quantile,4,0.05,0.4,0.8043,96.0,2258,214,912,1132
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh10_ws5_quantile,4,0.1,0.05,0.8063,98.0,2242,402,129,1711
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh5_ws20_quantile,4,0.05,0.2,0.8397,99.0,2230,244,454,1532
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh5_ws15_quantile,4,0.05,0.15,0.8551,100.0,2168,218,385,1565
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh5_ws10_quantile,4,0.05,0.1,0.8731,100.0,2218,212,278,1728
cp1_spatial_pool_16__grid3_vision_0@56_vision_1@18_robot_state@25__d4__fh5_ws5_quantile,4,0.05,0.05,0.895,98.0,2207,198,135,1874
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh80_ws10_quantile,5,0.8,0.1,0.259,76.0,2695,1871,504,320
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh75_ws15_quantile,5,0.75,0.15,0.3119,77.0,2739,1741,575,423
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh80_ws5_quantile,5,0.8,0.05,0.3154,75.0,2798,1847,274,677
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh55_ws30_quantile,5,0.55,0.3,0.318,85.0,2581,1637,493,451
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh70_ws20_quantile,5,0.7,0.2,0.3261,78.0,2776,1706,659,411
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh75_ws10_quantile,5,0.75,0.1,0.3311,76.0,2765,1756,374,635
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh75_ws5_quantile,5,0.75,0.05,0.3399,81.0,2741,1781,113,847
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh60_ws5_quantile,5,0.6,0.05,0.3483,87.0,2524,1633,48,843
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh60_ws30_quantile,5,0.6,0.3,0.3484,81.0,2669,1551,752,366
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh70_ws5_quantile,5,0.7,0.05,0.351,79.0,2658,1718,28,912
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh70_ws10_quantile,5,0.7,0.1,0.3577,83.0,2719,1701,182,836
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh70_ws15_quantile,5,0.7,0.15,0.361,75.0,2870,1712,488,670
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh65_ws15_quantile,5,0.65,0.15,0.3665,84.0,2637,1611,238,788
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh60_ws10_quantile,5,0.6,0.1,0.3669,84.0,2645,1649,102,894
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh55_ws15_quantile,5,0.55,0.15,0.3743,90.0,2485,1505,199,781
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh65_ws10_quantile,5,0.65,0.1,0.3797,84.0,2707,1650,117,940
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh50_ws40_quantile,5,0.5,0.4,0.3845,84.0,2642,1403,893,346
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh65_ws20_quantile,5,0.65,0.2,0.3845,75.0,2852,1625,522,705
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh60_ws20_quantile,5,0.6,0.2,0.3854,84.0,2664,1559,313,792
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh45_ws30_quantile,5,0.45,0.3,0.3925,83.0,2662,1549,273,840
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh50_ws5_quantile,5,0.5,0.05,0.3931,83.0,2679,1617,36,1026
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh65_ws5_quantile,5,0.65,0.05,0.3983,73.0,2867,1713,48,1106
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh50_ws30_quantile,5,0.5,0.3,0.3999,90.0,2502,1377,498,627
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh50_ws15_quantile,5,0.5,0.15,0.4016,85.0,2642,1547,136,959
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh60_ws15_quantile,5,0.6,0.15,0.4089,82.0,2710,1548,215,947
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh45_ws40_quantile,5,0.45,0.4,0.4155,88.0,2562,1290,830,442
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh40_ws15_quantile,5,0.4,0.15,0.4202,87.0,2609,1474,155,980
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh55_ws5_quantile,5,0.55,0.05,0.4256,88.0,2600,1475,74,1051
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh35_ws30_quantile,5,0.35,0.3,0.4263,91.0,2563,1395,302,866
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh55_ws20_quantile,5,0.55,0.2,0.4279,81.0,2695,1463,315,917
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh30_ws15_quantile,5,0.3,0.15,0.4356,93.0,2431,1326,184,921
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh50_ws20_quantile,5,0.5,0.2,0.44,88.0,2525,1338,304,883
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh55_ws10_quantile,5,0.55,0.1,0.4404,85.0,2634,1435,156,1043
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh45_ws15_quantile,5,0.45,0.15,0.4419,92.0,2488,1340,194,954
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh40_ws5_quantile,5,0.4,0.05,0.4429,87.0,2581,1422,64,1095
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh50_ws10_quantile,5,0.5,0.1,0.4512,88.0,2577,1376,153,1048
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh45_ws5_quantile,5,0.45,0.05,0.4517,94.0,2462,1326,96,1040
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh30_ws5_quantile,5,0.3,0.05,0.4556,92.0,2472,1330,63,1079
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh45_ws10_quantile,5,0.45,0.1,0.459,91.0,2488,1315,124,1049
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh40_ws30_quantile,5,0.4,0.3,0.463,89.0,2491,1223,459,809
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh40_ws20_quantile,5,0.4,0.2,0.4783,92.0,2505,1231,303,971
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh25_ws30_quantile,5,0.25,0.3,0.4814,89.0,2579,1250,350,979
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh40_ws10_quantile,5,0.4,0.1,0.4842,97.0,2486,1238,177,1071
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh45_ws20_quantile,5,0.45,0.2,0.4847,88.0,2643,1284,312,1047
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh40_ws40_quantile,5,0.4,0.4,0.4869,85.0,2643,1165,765,713
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh35_ws40_quantile,5,0.35,0.4,0.4906,91.0,2453,1092,630,731
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh20_ws15_quantile,5,0.2,0.15,0.5051,93.0,2416,1144,207,1065
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh35_ws20_quantile,5,0.35,0.2,0.5112,95.0,2451,1112,344,995
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh30_ws30_quantile,5,0.3,0.3,0.5193,95.0,2386,1034,452,900
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh30_ws40_quantile,5,0.3,0.4,0.5202,94.0,2443,1022,601,820
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh20_ws5_quantile,5,0.2,0.05,0.5285,92.0,2444,1136,65,1243
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh15_ws30_quantile,5,0.15,0.3,0.53,96.0,2431,1030,450,951
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh35_ws10_quantile,5,0.35,0.1,0.5346,94.0,2435,1090,173,1172
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh35_ws5_quantile,5,0.35,0.05,0.5434,95.0,2395,1072,86,1237
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh30_ws20_quantile,5,0.3,0.2,0.5504,96.0,2409,987,384,1038
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh35_ws15_quantile,5,0.35,0.15,0.5572,92.0,2504,1056,211,1237
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh30_ws10_quantile,5,0.3,0.1,0.5658,94.0,2456,1027,158,1271
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh25_ws40_quantile,5,0.25,0.4,0.5783,95.0,2446,853,714,879
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh10_ws15_quantile,5,0.1,0.15,0.5892,95.0,2417,928,260,1229
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh25_ws20_quantile,5,0.25,0.2,0.5902,97.0,2353,868,385,1100
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh10_ws5_quantile,5,0.1,0.05,0.5934,98.0,2358,939,79,1340
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh25_ws10_quantile,5,0.25,0.1,0.5967,97.0,2337,887,222,1228
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh25_ws5_quantile,5,0.25,0.05,0.6047,99.0,2273,871,110,1292
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh20_ws20_quantile,5,0.2,0.2,0.6152,96.0,2323,801,372,1150
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh20_ws40_quantile,5,0.2,0.4,0.6185,93.0,2375,714,768,893
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh25_ws15_quantile,5,0.25,0.15,0.6188,93.0,2408,840,312,1256
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh5_ws20_quantile,5,0.05,0.2,0.6274,96.0,2296,750,422,1124
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh20_ws30_quantile,5,0.2,0.3,0.6288,96.0,2326,723,562,1041
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh15_ws40_quantile,5,0.15,0.4,0.6627,96.0,2329,582,814,933
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh20_ws10_quantile,5,0.2,0.1,0.6791,95.0,2386,716,199,1471
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh15_ws20_quantile,5,0.15,0.2,0.7009,96.0,2310,577,456,1277
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh10_ws40_quantile,5,0.1,0.4,0.7081,98.0,2248,447,837,964
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh15_ws15_quantile,5,0.15,0.15,0.7159,98.0,2272,559,346,1367
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh10_ws30_quantile,5,0.1,0.3,0.7372,97.0,2257,418,701,1138
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh15_ws10_quantile,5,0.15,0.1,0.7377,97.0,2321,550,235,1536
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh15_ws5_quantile,5,0.15,0.05,0.7427,97.0,2266,546,148,1572
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh10_ws20_quantile,5,0.1,0.2,0.7692,98.0,2258,401,481,1376
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh10_ws10_quantile,5,0.1,0.1,0.7958,97.0,2249,400,237,1612
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh5_ws40_quantile,5,0.05,0.4,0.8004,97.0,2230,213,928,1089
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh5_ws30_quantile,5,0.05,0.3,0.8271,97.0,2233,221,660,1352
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh5_ws15_quantile,5,0.05,0.15,0.8667,100.0,2193,203,357,1633
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh5_ws10_quantile,5,0.05,0.1,0.8843,98.0,2194,191,251,1752
cp1_spatial_pool_16__grid3_vision_0@31_vision_1@6_robot_state@62__d5__fh5_ws5_quantile,5,0.05,0.05,0.8919,97.0,2220,206,136,1878
