yaml_id,base_depth,f_FH_target,f_WS_target,inf_ratio,success_rate_pct,n_eval,n_FH,n_WS,n_MISS
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh50_ws15_quantile,1,0.5,0.15,0.4194,91.0,2560,1419,269,872
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh25_ws5_quantile,1,0.25,0.05,0.4199,94.0,2455,1415,37,1003
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh50_ws10_quantile,1,0.5,0.1,0.4208,93.0,2496,1400,183,913
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh15_ws5_quantile,1,0.15,0.05,0.4209,94.0,2396,1375,50,971
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh45_ws10_quantile,1,0.45,0.1,0.4263,96.0,2399,1323,213,863
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh50_ws5_quantile,1,0.5,0.05,0.4304,93.0,2491,1399,79,1013
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh15_ws15_quantile,1,0.15,0.15,0.4338,95.0,2428,1341,135,952
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh10_ws30_quantile,1,0.1,0.3,0.4514,94.0,2453,1272,295,886
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh40_ws20_quantile,1,0.4,0.2,0.4566,96.0,2375,1181,438,756
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh40_ws15_quantile,1,0.4,0.15,0.4603,98.0,2338,1184,311,843
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh40_ws5_quantile,1,0.4,0.05,0.4788,97.0,2349,1202,89,1058
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh5_ws40_quantile,1,0.05,0.4,0.485,96.0,2380,1094,527,759
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh40_ws10_quantile,1,0.4,0.1,0.4869,96.0,2373,1161,226,986
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh35_ws40_quantile,1,0.35,0.4,0.487,94.0,2423,1039,816,568
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh35_ws30_quantile,1,0.35,0.3,0.4992,96.0,2392,1038,640,714
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh30_ws40_quantile,1,0.3,0.4,0.5126,97.0,2338,935,818,585
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh35_ws20_quantile,1,0.35,0.2,0.5202,99.0,2368,1023,453,892
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh35_ws10_quantile,1,0.35,0.1,0.5246,97.0,2372,1069,235,1068
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh5_ws10_quantile,1,0.05,0.1,0.529,96.0,2410,1093,168,1149
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh30_ws20_quantile,1,0.3,0.2,0.5661,95.0,2409,938,429,1042
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh30_ws15_quantile,1,0.3,0.15,0.5782,95.0,2384,931,298,1155
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh25_ws40_quantile,1,0.25,0.4,0.5933,94.0,2379,762,822,795
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh30_ws5_quantile,1,0.3,0.05,0.6087,92.0,2426,928,85,1413
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh30_ws10_quantile,1,0.3,0.1,0.6097,95.0,2393,891,172,1330
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh25_ws30_quantile,1,0.25,0.3,0.6149,93.0,2385,763,622,1000
cp1_spatial_pool_16__grid3_vision_0@6_vision_1@50_robot_state@43__d1__fh20_ws40_quantile,1,0.2,0.4,0.6168,96.0,2329,683,838,808
