cfg,gate_type,param_slug,p_inference,seed,cache_len,inference_len,episodes,success_rate,mean_inference_ratio,inference_ratio_source
spatial16_w8_d4,periodic,periodic_k10_n5,,,10,5,500,0.794,0.2689700708410165,derived
spatial16_w8_d4,periodic,periodic_k1_n1,,,1,1,500,0.92,0.4858548591173271,derived
spatial16_w8_d4,periodic,periodic_k1_n10,,,1,10,500,0.972,0.8870129520332619,derived
spatial16_w8_d4,periodic,periodic_k1_n2,,,1,2,500,0.946,0.6496470880568105,derived
spatial16_w8_d4,periodic,periodic_k1_n3,,,1,3,500,0.976,0.7307857843506164,derived
spatial16_w8_d4,periodic,periodic_k1_n5,,,1,5,500,0.968,0.8134917244682479,derived
spatial16_w8_d4,periodic,periodic_k2_n1,,,2,1,500,0.886,0.31657934027130297,derived
spatial16_w8_d4,periodic,periodic_k2_n10,,,2,10,500,0.978,0.7940173493067215,derived
spatial16_w8_d4,periodic,periodic_k2_n2,,,2,2,500,0.934,0.4753685790802839,derived
spatial16_w8_d4,periodic,periodic_k2_n3,,,2,3,500,0.936,0.5728895870034021,derived
spatial16_w8_d4,periodic,periodic_k2_n5,,,2,5,500,0.95,0.6808759216737384,derived
spatial16_w8_d4,periodic,periodic_k5_n1,,,5,1,500,0.776,0.15116969749100218,derived
spatial16_w8_d4,periodic,periodic_k5_n10,,,5,10,500,0.92,0.5777389187071258,derived
spatial16_w8_d4,periodic,periodic_k5_n2,,,5,2,500,0.83,0.25446401874028407,derived
spatial16_w8_d4,periodic,periodic_k5_n3,,,5,3,500,0.908,0.3402271213037017,derived
spatial16_w8_d4,periodic,periodic_k5_n5,,,5,5,500,0.938,0.4438591247436945,derived
spatial16_w8_d4,random,random_p0p05,0.05,"0,1,2",,,1500,0.726,0.05,expected
spatial16_w8_d4,random,random_p0p10,0.1,"0,1,2",,,1500,0.7013333333333334,0.1,expected
spatial16_w8_d4,random,random_p0p20,0.2,"0,1,2",,,1500,0.774,0.2,expected
spatial16_w8_d4,random,random_p0p30,0.3,"0,1,2",,,1500,0.8233333333333334,0.3,expected
spatial16_w8_d4,random,random_p0p50,0.5,"0,1,2",,,1500,0.9086666666666666,0.5,expected
spatial16_w8_d4,random,random_p0p70,0.7,"0,1,2",,,1500,0.96,0.7,expected
