yaml_id,base_depth,f_FH_target,f_WS_target,inf_ratio,success_rate_pct,n_eval,n_FH,n_WS,n_MISS
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh50_ws5_quantile,5,0.5,0.05,0.7156,83.0,5945,1624,266,4055
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh20_ws20_quantile,5,0.2,0.2,0.7305,82.0,6197,1429,965,3803
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh25_ws5_quantile,5,0.25,0.05,0.7387,81.0,6266,1586,204,4476
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh25_ws10_quantile,5,0.25,0.1,0.7518,75.0,6431,1471,500,4460
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh15_ws30_quantile,5,0.15,0.3,0.7529,76.0,6395,1190,1560,3645
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh40_ws20_quantile,5,0.4,0.2,0.7537,83.0,5815,1175,1028,3612
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh10_ws40_quantile,5,0.1,0.4,0.7717,83.0,5990,794,2293,2903
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh25_ws40_quantile,5,0.25,0.4,0.7813,89.0,5554,715,1998,2841
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh15_ws10_quantile,5,0.15,0.1,0.7972,85.0,5898,1070,504,4324
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh30_ws30_quantile,5,0.3,0.3,0.8063,88.0,5865,801,1341,3723
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh15_ws5_quantile,5,0.15,0.05,0.8129,77.0,6348,1116,288,4944
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh10_ws20_quantile,5,0.1,0.2,0.8327,80.0,6114,758,1060,4296
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh30_ws10_quantile,5,0.3,0.1,0.8441,88.0,5685,804,329,4552
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh25_ws20_quantile,5,0.25,0.2,0.8574,87.0,5852,679,622,4551
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh30_ws5_quantile,5,0.3,0.05,0.8608,87.0,5878,780,152,4946
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh20_ws30_quantile,5,0.2,0.3,0.8659,93.0,5475,491,973,4011
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh5_ws30_quantile,5,0.05,0.3,0.8721,83.0,6034,338,1735,3961
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh15_ws40_quantile,5,0.15,0.4,0.8733,93.0,5430,368,1281,3781
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh20_ws10_quantile,5,0.2,0.1,0.8841,93.0,5491,572,257,4662
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh20_ws5_quantile,5,0.2,0.05,0.9062,94.0,5454,486,102,4866
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh10_ws30_quantile,5,0.1,0.3,0.9144,95.0,5493,255,861,4377
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh15_ws20_quantile,5,0.15,0.2,0.9157,88.0,5762,371,460,4931
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh5_ws10_quantile,5,0.05,0.1,0.9166,87.0,5885,313,711,4861
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh5_ws40_quantile,5,0.05,0.4,0.9306,94.0,5402,94,1123,4185
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh5_ws5_quantile,5,0.05,0.05,0.931,81.0,6168,350,302,5516
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh10_ws10_quantile,5,0.1,0.1,0.9431,89.0,5569,243,295,5031
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh10_ws5_quantile,5,0.1,0.05,0.948,93.0,5440,255,112,5073
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__fh5_ws20_quantile,5,0.05,0.2,0.9565,92.0,5529,113,510,4906
cp1_spatial_pool_16__grid_vision_0@50_vision_1@50__d5__anchor_allmiss,5,,,1.0,89.0,5797,0,0,5797
