n_queries,changed_winner_pct,mean_selected_remaining,mean_remaining_reduction,mean_action_rmse,baseline_action_rmse,action_rmse_change_pct,action_rmse_worse_pct,gripper_sign_disagreement_pct,mean_score_drop,p95_score_drop,label,threshold,cross_only,mean_fold_retained_fraction,random_rmse_change_pct_mean,random_remaining_reduction_mean,remaining_reduction_ci95,action_rmse_change_pct_ci95
2640,0.0,27.21969696969697,0.0,0.16571050882339478,0.16571050882339478,0.0,0.0,4.462121212121213,0.0,0.0,cross_0.9995,0.9995,True,1.0,0.0,0.0,"[0.0, 0.0]","[0.0, 0.0]"
2640,0.0,27.21969696969697,0.0,0.16571050882339478,0.16571050882339478,0.0,0.0,4.462121212121213,0.0,0.0,cross_0.999,0.999,True,1.0,0.0,0.0,"[0.0, 0.0]","[0.0, 0.0]"
2640,2.4242424242424243,27.145075757575757,0.07462121212121212,0.16531966626644135,0.16571050882339478,-0.23586153984069824,1.3257575757575757,4.371212121212121,4.537584118224913e-06,0.0,cross_0.9985,0.9985,True,0.9564632177587841,0.7443466782569885,-0.004886363636363636,"[0.030820576430428303, 0.13481397790055255]","[-0.8304470992550136, 0.25122673163442133]"
2640,16.060606060606062,26.608712121212122,0.6109848484848485,0.16716088354587555,0.16571050882339478,0.875246524810791,10.151515151515152,4.356060606060606,8.617061394033954e-05,0.00047391057014465303,cross_0.998,0.998,True,0.8027931044922809,2.854158878326416,-0.027878787878787874,"[0.35357191097786184, 0.9385053579171226]","[-0.3768646622436628, 2.3096347811835507]"
2640,28.257575757575758,26.0844696969697,1.1352272727272728,0.1714581996202469,0.16571050882339478,3.4685134887695312,17.53787878787879,4.568181818181818,0.00019080305355601013,0.000918993353843687,cross_0.9975,0.9975,True,0.6921222072118279,4.822677373886108,-0.051041666666666666,"[0.6697985519523704, 1.7687653172341573]","[1.5061218953710505, 5.745498786204476]"
2640,35.15151515151515,25.97310606060606,1.246590909090909,0.1714891791343689,0.16571050882339478,3.4872055053710938,21.06060606060606,4.371212121212121,0.0003138757310807705,0.0015676349401473983,cross_0.997,0.997,True,0.6273676228764943,6.681421995162964,-0.036950757575757574,"[0.6688798802888372, 1.9912144703691292]","[1.0069267597414029, 6.351066891708322]"
2640,46.74242424242424,25.51590909090909,1.7037878787878789,0.17510853707790375,0.16571050882339478,5.671358108520508,29.204545454545457,4.424242424242424,0.0005675909924320877,0.0027677506208419796,cross_0.996,0.996,True,0.525460735369505,11.054056882858276,-0.070625,"[1.0167195013138568, 2.561771041129168]","[2.174091039553476, 9.101785242496755]"
2640,53.82575757575757,25.066666666666666,2.153030303030303,0.1793423295021057,0.16571050882339478,8.226287364959717,34.35606060606061,4.568181818181818,0.0007959296344779432,0.0036298602819442734,cross_0.995,0.995,True,0.46812556022318086,12.39241361618042,-0.10422348484848484,"[1.4022183692281205, 3.1093393135441434]","[4.201715957822918, 12.247281186385013]"
2640,63.10606060606061,24.224242424242423,2.9954545454545456,0.18153893947601318,0.16571050882339478,9.551858901977539,40.946969696969695,4.507575757575758,0.0013171815080568194,0.005148705840110774,cross_0.9925,0.9925,True,0.3780921565484008,17.048109769821167,-0.11481060606060611,"[2.002999947474164, 4.278324455612699]","[5.766475088742434, 13.808529584457693]"
2640,68.48484848484848,23.797727272727272,3.421969696969697,0.18961308896541595,0.16571050882339478,14.424300193786621,45.53030303030303,5.083333333333333,0.001611180603504181,0.006254300475120542,cross_0.99,0.99,True,0.3325067027463103,19.02047872543335,-0.12619318181818182,"[2.307923444296425, 4.807815054354591]","[9.78927994516754, 19.62980132208889]"
2640,72.72727272727273,23.491666666666667,3.728030303030303,0.19181619584560394,0.16571050882339478,15.753793716430664,47.46212121212121,5.0606060606060606,0.0021096800919622183,0.007765871286392181,cross_0.985,0.985,True,0.28899666240008276,23.178341388702393,-0.1827272727272727,"[2.6057289190958586, 5.12797933465435]","[10.639498935607905, 21.641095010868305]"
2640,74.58333333333333,23.43598484848485,3.783712121212121,0.20015448331832886,0.16571050882339478,20.785629749298096,49.46969696969697,6.098484848484849,0.0025489553809165955,0.008923798799514755,cross_0.98,0.98,True,0.27098273119751026,24.131256341934204,-0.1753409090909091,"[2.6679689694714495, 5.171133757028044]","[15.045812365977058, 27.325022418005204]"
2640,75.49242424242424,23.16590909090909,4.053787878787879,0.20183224976062775,0.16571050882339478,21.79809808731079,50.416666666666664,6.007575757575758,0.0027403549756854773,0.00965609550476074,cross_0.975,0.975,True,0.2584303375416837,25.818312168121338,-0.23748106060606058,"[2.897572053479595, 5.4486635981739076]","[16.280340836609316, 27.820766688537525]"
2640,76.74242424242425,23.023863636363636,4.195833333333334,0.20535948872566223,0.16571050882339478,23.92665147781372,51.515151515151516,6.21969696969697,0.0029527919832617044,0.011192169785499553,cross_0.97,0.97,True,0.24595870189535787,26.099300980567932,-0.2999621212121212,"[3.052937209917646, 5.565586357147504]","[17.906160523348973, 30.633799676443694]"
2640,77.87878787878788,22.951515151515153,4.2681818181818185,0.20478154718875885,0.16571050882339478,23.577892780303955,52.310606060606055,6.0606060606060606,0.0035158114042133093,0.011961027979850743,cross_0.95,0.95,True,0.22493823610858224,29.442089796066284,-0.40992424242424247,"[3.1343511774702595, 5.619939756809698]","[17.507056778129922, 30.72855698847111]"
2640,79.9621212121212,22.552272727272726,4.667424242424242,0.22081656754016876,0.16571050882339478,33.254408836364746,56.17424242424243,6.787878787878789,0.005676889326423407,0.02446384131908414,cross_0.9,0.9,True,0.18515664735042453,36.05733036994934,-0.3467045454545455,"[3.5007660766792683, 6.03926767604263]","[26.051175067141862, 41.021282743921134]"
