label,repeat,query_id,ms
cross_0.995,0,episode_0019_20260421_150552_473180:24,1.222162
cross_0.995,0,episode_0018_20260421_155250_742134:22,1.410045
cross_0.995,0,episode_0049_20260421_152610_845700:50,1.118108
cross_0.995,0,episode_0014_20260421_150234_937358:10,1.358042
cross_0.995,0,episode_0038_20260421_151615_368946:50,0.83817
cross_0.995,0,episode_0027_20260421_150917_326437:0,0.677837
cross_0.995,0,episode_0013_20260421_150147_027824:5,1.26286
cross_0.995,0,episode_0042_20260421_152010_071054:57,2.72886
cross_0.995,0,episode_0006_20260421_145620_818834:31,1.865706
cross_0.995,0,episode_0031_20260421_151130_944018:46,1.203547
cross_0.995,0,episode_0041_20260421_151903_896858:66,1.516657
cross_0.995,0,episode_0041_20260421_151903_896858:72,1.998965
cross_0.995,0,episode_0045_20260421_152322_258450:32,1.149011
cross_0.995,0,episode_0030_20260421_151104_740343:24,1.330928
cross_0.995,0,episode_0004_20260421_145514_975870:27,0.895222
cross_0.995,0,episode_0016_20260421_155154_891362:71,1.399807
cross_0.995,0,episode_0001_20260421_145332_810413:11,0.739865
cross_0.995,0,episode_0045_20260421_152322_258450:23,0.83608
cross_0.995,0,episode_0030_20260421_151104_740343:25,0.874295
cross_0.995,0,episode_0006_20260421_145620_818834:29,0.993682
cross_0.995,0,episode_0012_20260421_150109_113391:3,1.298609
cross_0.995,0,episode_0026_20260421_150856_396048:3,0.774114
cross_0.995,0,episode_0004_20260421_154909_939096:11,1.320863
cross_0.995,0,episode_0047_20260421_152429_961806:41,0.931884
cross_0.995,0,episode_0019_20260421_150552_473180:43,1.289868
cross_0.995,0,episode_0006_20260421_145620_818834:16,0.683256
cross_0.995,0,episode_0017_20260421_150415_357328:0,1.178557
cross_0.995,0,episode_0003_20260421_145442_230258:5,0.910018
cross_0.995,0,episode_0000_20260421_145256_951882:44,0.885311
cross_0.995,0,episode_0039_20260421_151648_760002:44,0.997182
cross_0.995,0,episode_0019_20260421_150552_473180:19,1.358315
cross_0.995,0,episode_0001_20260421_145332_810413:5,0.706622
cross_0.995,0,episode_0041_20260421_151903_896858:44,1.396625
cross_0.995,0,episode_0013_20260421_150147_027824:36,1.344312
cross_0.995,0,episode_0001_20260421_145332_810413:37,0.753887
cross_0.995,0,episode_0014_20260421_150234_937358:40,1.503467
cross_0.995,0,episode_0029_20260421_151037_202698:9,0.819082
cross_0.995,0,episode_0018_20260421_155250_742134:17,1.140877
cross_0.995,0,episode_0018_20260421_155250_742134:43,0.90958
cross_0.995,0,episode_0026_20260421_150856_396048:6,0.731448
cross_0.995,0,episode_0045_20260421_152322_258450:47,0.834783
cross_0.995,0,episode_0032_20260421_151156_252142:31,0.926228
cross_0.995,0,episode_0032_20260421_151156_252142:33,0.91025
cross_0.995,0,episode_0031_20260421_151130_944018:9,0.91191
cross_0.995,0,episode_0014_20260421_155029_148974:3,0.823312
cross_0.995,0,episode_0031_20260421_151130_944018:3,1.219325
cross_0.995,0,episode_0040_20260421_151756_437258:60,1.902467
cross_0.995,0,episode_0006_20260421_145620_818834:1,0.773762
cross_0.995,0,episode_0005_20260421_145548_769987:11,0.717804
cross_0.995,0,episode_0035_20260421_151345_521435:5,0.848401
cross_0.995,0,episode_0038_20260421_151615_368946:49,0.756152
cross_0.995,0,episode_0049_20260421_152610_845700:45,0.824565
cross_0.995,0,episode_0013_20260421_150147_027824:12,2.173882
cross_0.995,0,episode_0039_20260421_151648_760002:42,1.08831
cross_0.995,0,episode_0012_20260421_154958_870693:36,0.956388
cross_0.995,0,episode_0039_20260421_151648_760002:0,0.861551
cross_0.995,0,episode_0021_20260421_150651_911856:32,0.867394
cross_0.995,0,episode_0019_20260421_150552_473180:29,1.22957
cross_0.995,0,episode_0012_20260421_154958_870693:23,0.909287
cross_0.995,0,episode_0018_20260421_150514_387668:40,1.346584
cross_0.995,0,episode_0004_20260421_145514_975870:18,1.271299
cross_0.995,0,episode_0041_20260421_151903_896858:50,2.270345
cross_0.995,0,episode_0031_20260421_151130_944018:5,1.265024
cross_0.995,0,episode_0013_20260421_150147_027824:26,1.74057
cross_0.995,0,episode_0020_20260421_150623_961895:41,1.044553
cross_0.995,0,episode_0041_20260421_151903_896858:69,2.039202
cross_0.995,0,episode_0038_20260421_151615_368946:25,0.926488
