label,arm,original_hit_decisions,removed_winner_decisions,affected_pct
cross_0.95,rit_sp_hg_ir60,9262,6681,72.13344849924422
cross_0.95,rit_sp_hg_ir65,9443,6837,72.40283808111829
cross_0.95,rit_sp_hg_ir70,9538,6967,73.04466345145732
cross_0.95,rit_sp_hg_ir75,9132,6729,73.68593955321944
cross_0.95,rit_sp_hg_ir80,7906,5929,74.99367568934986
cross_0.95,rit_sp_hg_ir85,6438,4891,75.97079838459149
cross_0.95,rit_sp_hg_ir90,4449,3436,77.23083839064958
cross_0.95,rit_sp_hg_ir95,2452,1870,76.2642740619902
cross_0.9,rit_sp_hg_ir20,8859,6849,77.31120894006095
cross_0.9,rit_sp_hg_ir25,8775,6832,77.85754985754986
cross_0.9,rit_sp_hg_ir30,8861,6869,77.51946732874393
cross_0.9,rit_sp_hg_ir35,8960,6947,77.53348214285714
cross_0.9,rit_sp_hg_ir40,9022,7015,77.75437818665485
cross_0.9,rit_sp_hg_ir45,9209,7161,77.76088608969486
cross_0.9,rit_sp_hg_ir50,9201,7143,77.63286599282686
cross_0.9,rit_sp_hg_ir55,9325,7267,77.93029490616622
cross_0.9,rit_sp_hg_ir60,9262,7237,78.1364716044051
cross_0.9,rit_sp_hg_ir65,9443,7300,77.30594090860956
cross_0.9,rit_sp_hg_ir70,9538,7439,77.99328999790312
cross_0.9,rit_sp_hg_ir75,9132,7140,78.18659658344284
cross_0.9,rit_sp_hg_ir80,7906,6269,79.29420693144448
cross_0.9,rit_sp_hg_ir85,6438,5132,79.71419695557627
cross_0.9,rit_sp_hg_ir90,4449,3575,80.35513598561475
cross_0.9,rit_sp_hg_ir95,2452,1940,79.11908646003262
