label,n,mean,min,p10,median,p90,p95,max
cross_0.98,700,0.9116583657142857,0.379902,0.6034565000000001,0.8338445,1.3305154000000001,1.5167452499999998,3.095741
cross_0.975,700,0.7131956628571429,0.348965,0.5161905999999999,0.6401235000000001,1.0005938,1.1272794999999998,2.259688
baseline,700,1.1700562671428572,0.458329,0.7771139,1.0531220000000001,1.6736475000000002,1.9319904999999997,5.249182
cross_0.985,700,0.9945882842857142,0.470344,0.7315389000000001,0.9202165,1.3266731999999999,1.5816492499999995,2.690271
cross_0.987,700,1.1131926200000002,0.49814,0.8081364999999999,1.0331225000000002,1.4643779000000001,1.7166868499999997,5.661313
