label,threshold,cross_only,kept,removed,removed_pct,deleted_same_trajectory_pct,mean_pair_remaining_saved,pair_action_rmse,pair_gripper_disagreement_pct,retained_with_dangling_links,array_bytes_total
cross_0.989,0.989,True,1018,0,0.0,0.0,0.0,0.0,0.0,0,421794048
cross_0.987,0.987,True,998,20,1.9646365422396856,0.0,1.4,0.10694364458322525,0.0,13,421794048
cross_0.985,0.985,True,895,123,12.082514734774067,0.0,1.6910569105691058,0.15445463359355927,1.4634146341463417,56,421794048
cross_0.9825,0.9825,True,768,250,24.557956777996072,0.0,1.512,0.19270920753479004,2.96,117,421794048
cross_0.98,0.98,True,647,371,36.444007858546165,0.0,1.3611859838274933,0.196932852268219,2.587601078167116,147,421794048
cross_0.975,0.975,True,514,504,49.50884086444008,0.0,1.4523809523809523,0.21263745427131653,3.4126984126984126,212,421794048
cross_0.97,0.97,True,436,582,57.17092337917485,0.0,1.5103092783505154,0.22188717126846313,2.8178694158075603,195,421794048
cross_0.95,0.95,True,312,706,69.3516699410609,0.0,1.631728045325779,0.2500545084476471,3.569405099150141,152,421794048
cross_0.9,0.9,True,241,777,76.3261296660118,0.0,1.8416988416988418,0.28084686398506165,4.298584298584299,116,421794048
